label,r,lag,state,N_i,P_self,D_i,gamma_plus,gamma_minus,gamma_plus_over_D,gamma_plus_minus_gamma_minus
ENSEMBLE,32,1,B,0.9,0.9991685185185185,0.0008314814814814886,0.0007483333333333334,0.0007483333333333398,0.8999999999999924,-6.396792817664476e-18
ENSEMBLE,32,1,HL,0.02646,0.9844419249181154,0.01555807508188456,0.0004325,0.00041166666666666543,0.027799068825911013,2.0833333333334563e-05
ENSEMBLE,32,1,HS,0.07354,0.9914558970174961,0.008544102982503854,0.0006075,0.0006283333333333334,0.07110167108753314,-2.0833333333333424e-05
ENSEMBLE,48,1,B,0.9,0.9992074074074074,0.000792592592592567,0.0007133333333333333,0.0007133333333333103,0.900000000000029,2.2985086056692694e-17
ENSEMBLE,48,1,HL,0.0282575,0.9851071986788168,0.014892801321183202,0.0004316666666666667,0.00042083333333333436,0.02898492079207914,1.0833333333332314e-05
ENSEMBLE,48,1,HS,0.0717425,0.9919271468562335,0.00807285314376649,0.0005683333333333333,0.0005791666666666674,0.07040055395683445,-1.0833333333334048e-05
ENSEMBLE,64,1,B,0.9,0.9992,0.0008000000000000229,0.00072,0.0007200000000000206,0.8999999999999743,-2.0599841277224584e-17
ENSEMBLE,64,1,HL,0.02946,0.9857716677981444,0.014228332201855598,0.000425,0.00041916666666666594,0.029869980119284347,5.833333333334035e-06
ENSEMBLE,64,1,HS,0.07054,0.9918485965409697,0.008151403459030315,0.0005691666666666667,0.0005749999999999985,0.0698243768115944,-5.8333333333317585e-06
ENSEMBLE,80,1,B,0.9,0.9992305555555555,0.0007694444444444892,0.0006925,0.0006925000000000403,0.8999999999999476,-4.0332320816460765e-17
ENSEMBLE,80,1,HL,0.030154166666666666,0.9851595965178942,0.014840403482105802,0.0004366666666666667,0.0004474999999999987,0.02942417752948488,-1.0833333333331988e-05
ENSEMBLE,80,1,HS,0.06984583333333333,0.9921613076418302,0.007838692358169808,0.0005583333333333333,0.000547500000000002,0.07122786656519507,1.0833333333331338e-05
ENSEMBLE,96,1,B,0.9,0.9991953703703703,0.0008046296296296829,0.0007241666666666667,0.0007241666666667146,0.8999999999999405,-4.7921736023859296e-17
ENSEMBLE,96,1,HL,0.030198333333333334,0.9858159942601689,0.01418400573983114,0.00044666666666666666,0.00042833333333333406,0.03149086900129697,1.8333333333332604e-05
ENSEMBLE,96,1,HS,0.06980166666666666,0.9919056374012082,0.008094362598791816,0.0005466666666666667,0.0005650000000000001,0.06753671583087512,-1.8333333333333418e-05
ENSEMBLE,128,1,B,0.9,0.9992268518518519,0.0007731481481481062,0.0006958333333333334,0.0006958333333332956,0.9000000000000489,3.7730235602495554e-17
ENSEMBLE,128,1,HL,0.030475,0.9855345911949686,0.014465408805031443,0.0004375,0.0004408333333333332,0.03024456521739131,-3.3333333333332156e-06
ENSEMBLE,128,1,HS,0.069525,0.9921610931319669,0.007838906868033124,0.0005483333333333333,0.000545000000000003,0.06995022935779778,3.3333333333303425e-06
ENSEMBLE,160,1,B,0.9,0.9991481481481481,0.0008518518518518814,0.0007666666666666667,0.0007666666666666933,0.8999999999999688,-2.656295322589486e-17
ENSEMBLE,160,1,HL,0.0318625,0.98574604420034,0.014253955799660045,0.00046666666666666666,0.0004541666666666682,0.03273944954128429,1.249999999999846e-05
ENSEMBLE,160,1,HS,0.0681375,0.9911086650767443,0.008891334923255667,0.0005933333333333333,0.000605833333333333,0.06673163686382397,-1.2499999999999708e-05
ENSEMBLE,192,1,B,0.9,0.9991101851851852,0.00088981481481476,0.0008008333333333333,0.000800833333333284,0.9000000000000554,4.933119884809045e-17
ENSEMBLE,192,1,HL,0.0303475,0.9853914380646401,0.014608561935359865,0.000465,0.0004433333333333335,0.03183064849624059,2.1666666666666525e-05
ENSEMBLE,192,1,HS,0.0696525,0.9906799229508393,0.009320077049160713,0.0006275,0.0006491666666666666,0.06732776957637998,-2.166666666666658e-05
ENSEMBLE,32,2,B,0.9,0.9983345679012345,0.0016654320987654625,0.0014988888888888888,0.0014988888888889163,0.8999999999999835,-2.7538735181131813e-17
ENSEMBLE,32,2,HL,0.026393333333333335,0.9686368611602256,0.031363138839774374,0.0008244444444444445,0.0008277777777777783,0.026287051454138687,-3.333333333333812e-06
ENSEMBLE,32,2,HS,0.07360666666666667,0.9831386045949945,0.01686139540500553,0.0012444444444444445,0.0012411111111111071,0.0738043569083858,3.3333333333373898e-06
ENSEMBLE,48,2,B,0.9,0.9984259259259259,0.001574074074074061,0.0014166666666666668,0.001416666666666655,0.9000000000000075,1.1709383462843448e-17
ENSEMBLE,48,2,HL,0.028263333333333335,0.9725203443802335,0.027479655619766508,0.00083,0.0007766666666666675,0.030204163090128727,5.3333333333332534e-05
ENSEMBLE,48,2,HS,0.07173666666666667,0.9836748602140545,0.01632513978594552,0.0011177777777777779,0.001171111111111112,0.06846972169512963,-5.333333333333405e-05
ENSEMBLE,64,2,B,0.9,0.9984481481481482,0.0015518518518518043,0.0013966666666666667,0.001396666666666624,0.9000000000000276,4.2717565595928875e-17
ENSEMBLE,64,2,HL,0.02940777777777778,0.971738391204141,0.02826160879585904,0.0007944444444444444,0.0008311111111111124,0.028110375816993417,-3.666666666666803e-05
ENSEMBLE,64,2,HS,0.07059222222222222,0.9841971888624809,0.015802811137519135,0.0011522222222222222,0.001115555555555559,0.07291248450641853,3.666666666666315e-05
ENSEMBLE,80,2,B,0.9,0.9984753086419753,0.001524691358024688,0.0013722222222222222,0.0013722222222222191,0.900000000000002,3.0357660829594124e-18
ENSEMBLE,80,2,HL,0.03015,0.9726183895338124,0.02738161046618759,0.00085,0.0008255555555555558,0.03104273216689097,2.4444444444444123e-05
ENSEMBLE,80,2,HS,0.06985,0.98379066253082,0.016209337469179963,0.0011077777777777778,0.0011322222222222204,0.0683419528949952,-2.4444444444442605e-05
ENSEMBLE,96,2,B,0.9,0.9984691358024691,0.0015308641975309012,0.0013777777777777777,0.001377777777777811,0.8999999999999782,-3.3393426912553537e-17
ENSEMBLE,96,2,HL,0.030083333333333333,0.9722622345337026,0.02773776546629736,0.0008588888888888889,0.0008344444444444456,0.030964602751886332,2.4444444444443256e-05
ENSEMBLE,96,2,HS,0.06991666666666667,0.9849503377036154,0.015049662296384603,0.0010277777777777778,0.0010522222222222235,0.06829241464273135,-2.444444444444564e-05
ENSEMBLE,128,2,B,0.9,0.9984061728395062,0.0015938271604938326,0.0014344444444444444,0.0014344444444444493,0.8999999999999969,-4.9873299934333204e-18
ENSEMBLE,128,2,HL,0.03046,0.9700153206390895,0.029984679360910538,0.0009055555555555556,0.000913333333333335,0.03020060827250603,-7.7777777777794e-06
ENSEMBLE,128,2,HS,0.06954,0.9841018758188732,0.015898124181126794,0.0011133333333333334,0.0011055555555555573,0.07002922613065315,7.77777777777604e-06
ENSEMBLE,160,2,B,0.9,0.9982888888888889,0.0017111111111111077,0.00154,0.0015399999999999969,0.9000000000000018,3.0357660829594124e-18
ENSEMBLE,160,2,HL,0.031877777777777776,0.9718368769606135,0.028163123039386506,0.0008977777777777778,0.0008977777777777764,0.031877777777777824,1.4094628242311558e-18
ENSEMBLE,160,2,HS,0.06812222222222222,0.9822541184146143,0.017745881585385703,0.001208888888888889,0.001208888888888886,0.06812222222222238,2.8189256484623115e-18
ENSEMBLE,192,2,B,0.9,0.9981950617283951,0.0018049382716048834,0.0016244444444444444,0.0016244444444443952,0.9000000000000273,4.92227786308419e-17
ENSEMBLE,192,2,HL,0.030275555555555556,0.970713446858485,0.02928655314151496,0.0009211111111111112,0.0008866666666666662,0.03145167362851575,3.444444444444491e-05
ENSEMBLE,192,2,HS,0.06972444444444445,0.9813551759306476,0.018644824069352417,0.0012655555555555556,0.0013000000000000032,0.0678770446343778,-3.444444444444762e-05
ENSEMBLE,32,4,B,0.9,0.9966407407407407,0.003359259259259284,0.003023333333333333,0.0030233333333333557,0.8999999999999934,-2.2551405187698492e-17
ENSEMBLE,32,4,HL,0.026606666666666667,0.9428714607867702,0.0571285392132298,0.0016633333333333333,0.001520000000000001,0.029115628654970742,0.00014333333333333234
ENSEMBLE,32,4,HS,0.07339333333333334,0.9649377781814878,0.03506222181851215,0.00243,0.0025733333333333355,0.06930536269430046,-0.0001433333333333356
ENSEMBLE,48,4,B,0.9,0.9968703703703704,0.0031296296296295933,0.0028166666666666665,0.002816666666666634,0.9000000000000103,3.252606517456513e-17
ENSEMBLE,48,4,HL,0.028323333333333332,0.9413910792044251,0.05860892079557489,0.0016233333333333334,0.0016599999999999996,0.02769771753681393,-3.6666666666666185e-05
ENSEMBLE,48,4,HS,0.07167666666666667,0.9681439799097801,0.03185602009021993,0.00232,0.0022833333333333304,0.07282767883211688,3.6666666666669654e-05
ENSEMBLE,64,4,B,0.9,0.9968888888888889,0.0031111111111110645,0.0028,0.0027999999999999583,0.9000000000000135,4.163336342344337e-17
ENSEMBLE,64,4,HL,0.029636666666666665,0.9464627151051626,0.053537284894837445,0.0016133333333333334,0.0015866666666666657,0.030134761904761925,2.6666666666667676e-05
ENSEMBLE,64,4,HS,0.07036333333333333,0.9682599838931262,0.031740016106873825,0.0022066666666666667,0.002233333333333332,0.06952317412935327,-2.666666666666529e-05
ENSEMBLE,80,4,B,0.9,0.9968925925925926,0.0031074074074074476,0.0027966666666666665,0.002796666666666703,0.8999999999999883,-3.642919299551295e-17
ENSEMBLE,80,4,HL,0.030526666666666667,0.9480235859357938,0.05197641406420617,0.00166,0.001586666666666667,0.03193756302521008,7.333333333333302e-05
ENSEMBLE,80,4,HS,0.06947333333333333,0.9667978121101621,0.033202187889837864,0.0022333333333333333,0.002306666666666669,0.0672646435452793,-7.333333333333584e-05
ENSEMBLE,96,4,B,0.9,0.9969481481481481,0.003051851851851861,0.002746666666666667,0.002746666666666675,0.8999999999999972,-8.239936510889834e-18
ENSEMBLE,96,4,HL,0.02981666666666667,0.9476802683063164,0.052319731693683647,0.00167,0.0015600000000000008,0.03191912393162392,0.0001099999999999992
ENSEMBLE,96,4,HS,0.07018333333333333,0.9683685585371645,0.031631441462835475,0.00211,0.0022200000000000032,0.06670578078078068,-0.00011000000000000332
ENSEMBLE,128,4,B,0.9,0.9968925925925926,0.0031074074074074476,0.0027966666666666665,0.002796666666666703,0.8999999999999883,-3.642919299551295e-17
ENSEMBLE,128,4,HL,0.030653333333333335,0.9411700739451936,0.058829926054806414,0.0016933333333333334,0.0018033333333333328,0.02878353666050525,-0.00010999999999999942
ENSEMBLE,128,4,HS,0.06934666666666667,0.9690924822149587,0.030907517785041305,0.0022533333333333333,0.002143333333333331,0.0729056713322966,0.00011000000000000246
ENSEMBLE,160,4,B,0.9,0.9967074074074074,0.0032925925925926247,0.0029633333333333334,0.0029633333333333625,0.8999999999999913,-2.905661822261152e-17
ENSEMBLE,160,4,HL,0.03145666666666667,0.9446858111688037,0.05531418883119632,0.0016866666666666666,0.001739999999999999,0.030492477650063875,-5.333333333333232e-05
ENSEMBLE,160,4,HS,0.06854333333333333,0.9658610124981764,0.03413898750182365,0.0023933333333333333,0.0023399999999999988,0.07010557454890791,5.3333333333334485e-05
ENSEMBLE,192,4,B,0.9,0.9965296296296297,0.003470370370370346,0.0031233333333333334,0.0031233333333333113,0.9000000000000064,2.211772431870429e-17
ENSEMBLE,192,4,HL,0.030093333333333333,0.9395214887018166,0.06047851129818338,0.0017766666666666666,0.0018199999999999985,0.029376825396825422,-4.333333333333186e-05
ENSEMBLE,192,4,HS,0.06990666666666667,0.9650486362769407,0.03495136372305929,0.0024866666666666665,0.0024433333333333316,0.07114648476580268,4.333333333333489e-05
